,equity
2022-05-16 04:00:00+00:00,100000.0
2022-05-16 08:00:00+00:00,100000.0
2022-05-16 12:00:00+00:00,100000.0
2022-05-16 16:00:00+00:00,100000.0
2022-05-16 20:00:00+00:00,100000.0
2022-05-17 00:00:00+00:00,100000.0
2022-05-17 04:00:00+00:00,100000.0
2022-05-17 08:00:00+00:00,100000.0
2022-05-17 12:00:00+00:00,100000.0
2022-05-17 16:00:00+00:00,100000.0
2022-05-17 20:00:00+00:00,100000.0
2022-05-18 00:00:00+00:00,100000.0
2022-05-18 04:00:00+00:00,100000.0
2022-05-18 08:00:00+00:00,100000.0
2022-05-18 12:00:00+00:00,100000.0
2022-05-18 16:00:00+00:00,100000.0
2022-05-18 20:00:00+00:00,100000.0
2022-05-19 00:00:00+00:00,100000.0
2022-05-19 04:00:00+00:00,100000.0
2022-05-19 08:00:00+00:00,100000.0
2022-05-19 12:00:00+00:00,100000.0
2022-05-19 16:00:00+00:00,100000.0
2022-05-19 20:00:00+00:00,100000.0
2022-05-20 00:00:00+00:00,100000.0
2022-05-20 04:00:00+00:00,100000.0
2022-05-20 08:00:00+00:00,100000.0
2022-05-20 12:00:00+00:00,100000.0
2022-05-20 16:00:00+00:00,100000.0
2022-05-20 20:00:00+00:00,100000.0
2022-05-21 00:00:00+00:00,100000.0
2022-05-21 04:00:00+00:00,100000.0
2022-05-21 08:00:00+00:00,100000.0
2022-05-21 12:00:00+00:00,100000.0
2022-05-21 16:00:00+00:00,100000.0
2022-05-21 20:00:00+00:00,100000.0
2022-05-22 00:00:00+00:00,100000.0
2022-05-22 04:00:00+00:00,100000.0
2022-05-22 08:00:00+00:00,100000.0
2022-05-22 12:00:00+00:00,100000.0
2022-05-22 16:00:00+00:00,100000.0
2022-05-22 20:00:00+00:00,100000.0
2022-05-23 00:00:00+00:00,100000.0
2022-05-23 04:00:00+00:00,100000.0
2022-05-23 08:00:00+00:00,100000.0
2022-05-23 12:00:00+00:00,100000.0
2022-05-23 16:00:00+00:00,100000.0
2022-05-23 20:00:00+00:00,100000.0
2022-05-24 00:00:00+00:00,100000.0
2022-05-24 04:00:00+00:00,100000.0
2022-05-24 08:00:00+00:00,100000.0
2022-05-24 12:00:00+00:00,100000.0
2022-05-24 16:00:00+00:00,100000.0
2022-05-24 20:00:00+00:00,100000.0
2022-05-25 00:00:00+00:00,100000.0
2022-05-25 04:00:00+00:00,100000.0
2022-05-25 08:00:00+00:00,100000.0
2022-05-25 12:00:00+00:00,100000.0
2022-05-25 16:00:00+00:00,100000.0
2022-05-25 20:00:00+00:00,100000.0
2022-05-26 00:00:00+00:00,100000.0
2022-05-26 04:00:00+00:00,100000.0
2022-05-26 08:00:00+00:00,100000.0
2022-05-26 12:00:00+00:00,100000.0
2022-05-26 16:00:00+00:00,100000.0
2022-05-26 20:00:00+00:00,100000.0
2022-05-27 00:00:00+00:00,100000.0
2022-05-27 04:00:00+00:00,100000.0
2022-05-27 08:00:00+00:00,100000.0
2022-05-27 12:00:00+00:00,100000.0
2022-05-27 16:00:00+00:00,100000.0
2022-05-27 20:00:00+00:00,100000.0
2022-05-28 00:00:00+00:00,100000.0
2022-05-28 04:00:00+00:00,100000.0
2022-05-28 08:00:00+00:00,100000.0
2022-05-28 12:00:00+00:00,100000.0
2022-05-28 16:00:00+00:00,100000.0
2022-05-28 20:00:00+00:00,100000.0
